name,url,uuid,tags,username,license,description,duration,geotags
Steel chair 1 (Silla de metal).wav,https://freesound.org/people/renatofarabeuf/sounds/232665/,b481f6d8-6ab6-463b-85b9-ed67e45cf49a,['steel'+ 'pull'+ 'chair'],renatofarabeuf,http://creativecommons.org/licenses/by/3.0/,Pulling a steel chair,22.9412,
Rolling Hospital Bed.wav,https://freesound.org/people/simong1006/sounds/566458/,b7d576a0-df0f-477b-83cf-d00a595ab413,['hallway'+ 'Hospital'+ 'bed'+ 'Bed'+ 'rolling'+ 'electronic'],simong1006,http://creativecommons.org/licenses/by/3.0/,Rolling a hospital bed on an empty wing of Mount Sinai Beth Israel Hospital,31.4757,
Jumping On a Bed,https://freesound.org/people/deleted_user_7146007/sounds/383753/,7c9f6146-2cdc-42e7-82d4-542aeee1b55f,['Jump'+ 'Spring'+ 'Jumping'+ 'Bed'],deleted_user_7146007,http://creativecommons.org/publicdomain/zero/1.0/,Jumping On a Bed,7.41667,
untitled_sitting on bed.wav,https://freesound.org/people/Zigzag20705/sounds/134987/,56024c2a-b302-4073-a3dc-052b18108f60,['field-recording'+ 'bed'+ 'sitting'],Zigzag20705,http://creativecommons.org/publicdomain/zero/1.0/,sitting on a bed,50.3942,
14- scratching Bed.wav,https://freesound.org/people/16HPanskaZavadovsky_Igor/sounds/498513/,99952866-daf4-414e-b5fa-ec06ab3b7858,['scratching'+ 'panska'+ 'bed'],16HPanskaZavadovsky_Igor,http://creativecommons.org/publicdomain/zero/1.0/,Scratching bed,23.3107,
32. getting into bed.wav,https://freesound.org/people/btherad2000/sounds/328051/,63f526ea-6c26-4d06-aa1f-85de606b72f9,['OWI'+ 'like'+ 'tired'+ 'feel'+ 'blanket'+ 'duvet'+ 'bed'+ 'going'+ 'sleep'+ 'bedroom'+ 'rustle'],btherad2000,http://creativecommons.org/licenses/by/3.0/,Getting into bed,16.548,
walk_on_bed.WAV,https://freesound.org/people/gyzhor/sounds/65790/,d7385701-4cb6-4284-b6b8-06eee9abdf22,['bed'+ 'fabric'+ 'footsteps'+ 'squeak'+ 'walking'],gyzhor,http://creativecommons.org/publicdomain/zero/1.0/,Walking on a bed.,101.466,
Bed_Noises.wav,https://freesound.org/people/Harrisando/sounds/496443/,969cc0e5-060c-4cba-a602-879845083a2a,['sound-of-bed'+ 'squeak'+ 'noise'+ 'bed'+ 'broken-bed'],Harrisando,http://creativecommons.org/publicdomain/zero/1.0/,sounds of a bed,32.2333,
Creaky bed.WAV,https://freesound.org/people/ShadowReaper2814/sounds/490760/,965d39d8-1692-49cc-852b-f1f150d11d13,['Creaky'+ 'OWI'+ 'Creepy'+ 'Bed'],ShadowReaper2814,https://creativecommons.org/licenses/by-nc/4.0/,A creaky bed,7.5,
drawers,https://freesound.org/people/daenerys/sounds/260718/,d86cee9d-0da9-405c-a240-2df599f4320b,['push'+ 'drawers'+ 'box'+ 'pull'],daenerys,https://creativecommons.org/licenses/by/4.0/,"drawers opening and closing, pushing and pulling ",24.3602,
Drawers.WAV,https://freesound.org/people/jadend2/sounds/205080/,cea410f8-9340-446f-9312-666d974fddc5,['drawers'+ 'household'+ 'shelves'],jadend2,http://creativecommons.org/publicdomain/zero/1.0/,sound of drawers being opened ,12.2133,
Opening and Closing Drawers,https://freesound.org/people/Fabrizio84/sounds/457553/,f2a5fb2a-8638-4221-ab3f-201699220c2b,['drawers'+ 'close-drawer'+ 'open'+ 'open-drawer'+ 'close'],Fabrizio84,http://creativecommons.org/publicdomain/zero/1.0/,Opening and closing drawers.,41.3518,
Drawers.wav,https://freesound.org/people/sportygurl37/sounds/120215/,8eed7ac4-3441-418f-b9b3-d119b00cb3e2,['closing'+ 'drawers'+ 'open'+ 'wooden'],sportygurl37,http://creativecommons.org/licenses/by/3.0/,Opening and closing wooden dresser drawers full of trinkets. ,15.4453,
Woodend drawers open and close.wav,https://freesound.org/people/rar2k/sounds/513584/,0994e02a-341b-4a9e-b26a-de6a6220872a,['close'+ 'Woodend'+ 'open'+ 'drawers'],rar2k,http://creativecommons.org/licenses/by/3.0/,Woodend drawers open and close,23.9693,
Drawers Opening and Closing,https://freesound.org/people/nintendoto/sounds/556761/,ba26c94b-c511-4e21-a137-91ce86b74816,['closet'+ 'drawers'+ 'opening'+ 'drawer'+ 'wardrobe'+ 'close'+ 'closing'+ 'open'+ 'clothes'],nintendoto,http://creativecommons.org/publicdomain/zero/1.0/,Drawers full of clothes opening and closing.,15.3252,
drawers.wav,https://freesound.org/people/sagetyrtle/sounds/41367/,ad5bc905-0b40-463d-b749-bd5bc8ff1edf,['close'+ 'closing'+ 'drawer'+ 'drawers'+ 'foley'+ 'looking'+ 'mono'+ 'open'+ 'opening'+ 'searching'+ 'wooden'],sagetyrtle,http://creativecommons.org/publicdomain/zero/1.0/,"Opening and closing wooden drawers, searching for something. Mono recording.",61.9687,
Kitchen Drawers,https://freesound.org/people/Snake16547/sounds/433996/,5fb72ec0-8507-471c-a4f5-20331eefa07d,['handle'+ 'shut'+ 'cupboard'+ 'door'+ 'drawers'+ 'slam'+ 'doors'+ 'close'+ 'closing'+ 'open'+ 'kitchen'],Snake16547,http://creativecommons.org/publicdomain/zero/1.0/,"Kitchen Drawers: various sounds of opening and closing different kitchen drawers some with cutlery inside

Recorder: Zoom H4N with the internal mic on 48kHz with 24bit",34.8,
Opening and Closing Metal Drawers with Stuff.wav,https://freesound.org/people/rar2k/sounds/513592/,ad3831e2-81df-44b9-a08d-8aad0e10bc39,['Drawers'+ 'Closing'+ 'Stuff'+ 'Metal'+ 'Opening'],rar2k,http://creativecommons.org/licenses/by/3.0/,Opening and Closing Metal Drawers with Stuff,23.1126,
Closing closet,https://freesound.org/people/CheChoDj/sounds/609355/,1bf9bb40-877f-4c06-b2c1-90ea5d094c6c,['close'+ 'closing'+ 'door'+ 'doors'+ 'closet'],CheChoDj,https://creativecommons.org/licenses/by/4.0/,Closing the doors of a closet,16.0,
Closet door,https://freesound.org/people/CheChoDj/sounds/609380/,f42e623b-b973-4043-b72b-8fba39faa2c0,['wardobre'+ 'door'+ 'closet'+ 'opening'+ 'wooden'+ 'cabinet'+ 'wood'+ 'close'+ 'closing'+ 'open'],CheChoDj,https://creativecommons.org/licenses/by/4.0/,Opening and closing a door of a closet,22.5,
DougCloset.wav,https://freesound.org/people/Mars420/sounds/444762/,d9fece8f-9751-4d76-add0-69f289a69130,['janitor'+ 'empty'+ 'closet'+ 'quiet'],Mars420,http://creativecommons.org/publicdomain/zero/1.0/,"The closet of a large, empty spaceship",30.1707,
Throwing shoe in closet.WAV,https://freesound.org/people/Zoe_1001/sounds/591004/,b62db558-c74b-40b4-8bfa-d9d7cbeb9635,['tumble'+ 'OWI'+ 'shoe'+ 'closet'+ 'throw'],Zoe_1001,http://creativecommons.org/licenses/by-nc/3.0/,Throwing a shoe into a closet,35.2693,
Closet hanger.WAV,https://freesound.org/people/MDRivet/sounds/268654/,543bf4ff-8899-40f4-9ce8-f0cabe566621,['hotel'+ 'H6'+ 'field-recording'+ 'closet'+ 'hanger'],MDRivet,https://creativecommons.org/licenses/by/4.0/,Banging around in a closet,12.7467,
Scratch Closet on Floor [Loop] 1.wav,https://freesound.org/people/TheLukasBanana/sounds/417493/,36609f9b-6522-4784-b111-2f3177445193,['closet'+ 'scratch'+ 'crate'+ 'drag'+ 'rigid'+ 'push'+ 'physics'+ 'loop'],TheLukasBanana,http://creativecommons.org/licenses/by/3.0/,Dragging a closet over a floor.,9.55501,
"Leather Sofa, Sit Down, Stand Up",https://freesound.org/people/Kinoton/sounds/397847/,48a34412-d416-474f-accb-5cbc924963c3,['leather'+ 'sofa'+ 'foley'+ 'couch'],Kinoton,http://creativecommons.org/publicdomain/zero/1.0/,"Foley of sitting down and standing up from a leather couch. 
Slow, fast, soft, hard variations.


ORTF Stereo;
Recorder: H4n Pro;
Microphone: 2x M5;
Processing: noise reduction",65.6566,
iPhone_Texting.wav,https://freesound.org/people/MATRIXXX_/sounds/506962/,9143037e-ec85-4c9c-8a94-badb8e245bb4,['relax'+ 'smartphone'+ 'friends'+ 'sofa'+ 'mobile'+ 'text'+ 'typing'+ 'texting'+ 'couch'+ 'phone'+ 'iphone'+ 'keyboard'+ 'friend'+ 'type'+ 'smart'+ 'chill'+ 'relaxing'+ 'chilling'+ 'tiktok'],MATRIXXX_,https://creativecommons.org/licenses/by/4.0/,"You don't need to credit me, however you can credit iPhone/Apple if you want to!
--------------------------------------------------------------
My two nieces, two Tiktokers, came by and sat on the sofa in my room. They both have iPhone and they were texting their friends, so I took the opportunity to record some!

We all tried to be as quiet as possible during the recording!

I could've made a real clean-up on this sound, however I didn't, because it sounded good enough imo!

If you enjoyed the sound, please RATE, COMMENT, SPREAD! It really helps!

NOTE: Make sure to check out the other MATRIXXX-sounds! The sound quality is <b>always</b> better when you download the sound(s)! ⛄

Enjoy!
/MATRIXXX",85.0,
Divan - Child jumping on.wav,https://freesound.org/people/Sirderf/sounds/332293/,327e2fa1-0418-4065-9499-6037d2911c5e,['sofa'+ 'jumping'+ 'divan'+ 'child'],Sirderf,http://creativecommons.org/licenses/by/3.0/,"A child is jumping on a divan - interior recording - Mono.
Recorded in 2002
Tascam DAT DA-P1 recorder + AKG SE300B microphone - CK91 capsule (cardioid)",23.76,
01772 sitting creaks.wav,https://freesound.org/people/Robinhood76/sounds/101222/,11886e06-cf7b-4f1e-8ea5-6a1b2668aeb1,['armchair'+ 'chair'+ 'creak'+ 'creaking'+ 'down'+ 'get'+ 'move'+ 'noise'+ 'sit'+ 'sitting'+ 'sofa'+ 'up'],Robinhood76,https://creativecommons.org/licenses/by-nc/4.0/,"Armchair creaks, several takes when moving and sitting down rec by Zoom H2",7.35755,
Fx_Sofá_Frotar_Suavemente_G3.2.wav,https://freesound.org/people/eldiariosonoro_/sounds/540529/,4c4c40b2-7950-497d-9bfb-782954bdcdf9,['Foley'+ 'Sofa'+ 'Recording'],eldiariosonoro_,http://creativecommons.org/publicdomain/zero/1.0/,"Sonido que se produce al frotar de manera suave un sofá, sonido con propósitos de foley",5.76,
Opening packet.wav,https://freesound.org/people/Kat7777/sounds/408458/,5870bfd5-b8ce-43be-8338-576b388fdd17,['lazy'+ 'owi'+ 'sofa'+ 'packet'+ 'couch'+ 'person'+ 'plastic'+ 'open'],Kat7777,http://creativecommons.org/licenses/by-nc/3.0/,This is of a person that is opening a packet of marshmallows.,6.30881,-25.7793342365 28.2985925674
Door - Full 1.wav,https://freesound.org/people/IG88music/sounds/431899/,494b00df-422b-4607-9e88-d279a4a490cb,['door'+ 'open'+ 'Door'+ 'close'],IG88music,http://creativecommons.org/licenses/by/3.0/,My front door recorded with AKG C414,10.0,
Door - Full 3.wav,https://freesound.org/people/IG88music/sounds/431897/,2c6745e1-ad55-40f0-81de-9b4d61aa145d,['door'+ 'open'+ 'Door'+ 'close'],IG88music,http://creativecommons.org/licenses/by/3.0/,My front door recorded with AKG C414,6.0,
Door - Full 2.wav,https://freesound.org/people/IG88music/sounds/431898/,6b758271-c577-4bce-ab1b-c2c2d00484eb,['door'+ 'open'+ 'Door'+ 'close'],IG88music,http://creativecommons.org/licenses/by/3.0/,My front door recorded with AKG C414,8.0,
"Doors, key in,  unlock, creak, wood, door, open, close, shut, keys, knob, toilet door, bathroom door 02.wav",https://freesound.org/people/SFX_AFRIK/sounds/584858/,3433f04a-5ceb-457f-a7bd-38c32aab612b,['closes'+ 'door'+ 'opening'+ 'Door'+ 'close'+ 'closing'+ 'opens'],SFX_AFRIK,https://creativecommons.org/licenses/by/4.0/,"Perfect for use in Film, TV and Video Games, this library is your one stop solution to sound editing for doors.",21.2806,
